idx,time_s,raw,distance_m,distance_mm
562,0.036000,64839,32.955736,32956
563,0.036000,64954,33.014187,33014
564,0.036000,63931,32.494226,32494
565,0.036000,6141,3.121288,3121
566,0.036000,38909,19.776288,19776
567,0.036000,36857,18.733317,18733
568,0.036000,29719,15.105284,15105
569,0.036000,30615,15.560694,15561
570,0.036000,64399,32.732097,32732
571,0.036000,64116,32.588256,32588
572,0.036000,62071,31.548844,31549
573,0.036000,12283,6.243084,6243
574,0.036000,12282,6.242575,6243
575,0.036000,8178,4.156634,4157
576,0.036000,59439,30.211076,30211
577,0.036000,60975,30.991779,30992
578,0.036000,63007,32.024585,32025
579,0.037000,62952,31.996630,31997
580,0.037000,58862,29.917804,29918
581,0.037000,24566,12.486167,12486
582,0.037000,24565,12.485659,12486
583,0.037000,16357,8.313777,8314
584,0.037000,53343,27.112661,27113
585,0.037000,56671,28.804184,28804
586,0.037000,60735,30.869794,30870
587,0.037000,60112,30.553142,30553
588,0.037000,51933,26.396000,26396
589,0.037000,49133,24.972843,24973
590,0.037000,49130,24.971318,24971
591,0.037000,39498,20.075659,20076
592,0.037000,32714,16.627553,16628
593,0.037000,41151,20.915830,20916
594,0.037000,47807,24.298876,24299
595,0.037000,55935,28.430097,28430
596,0.037000,54688,27.796284,27796
597,0.037000,38330,19.481999,19482
598,0.038000,32730,16.635686,16636
599,0.038000,32725,16.633144,16633
600,0.038000,65429,33.255615,33256
601,0.038000,16511,8.392050,8392
602,0.038000,29823,15.158144,15158
603,0.038000,46335,23.550703,23551
604,0.038000,43840,22.282568,22283
605,0.038000,11124,5.653998,5654
606,0.038000,65460,33.271371,33271
607,0.038000,65451,33.266797,33267
608,0.038000,65323,33.201738,33202
609,0.038000,33279,16.914726,16915
610,0.038000,59903,30.446914,30447
611,0.038000,26879,13.661796,13662
612,0.038000,22401,11.385762,11386
613,0.038000,22505,11.438622,11439
614,0.038000,65384,33.232743,33233
615,0.039000,65367,33.224102,33224
616,0.039000,65367,33.224102,33224
617,0.039000,767,0.389843,390
618,0.039000,54015,27.454218,27454
619,0.039000,53759,27.324101,27324
620,0.039000,44546,22.641407,22641
621,0.039000,44754,22.747127,22747
622,0.039000,65489,33.286111,33286
623,0.039000,65454,33.268322,33268
624,0.039000,41647,21.167932,21168
625,0.039000,65198,33.138205,33138
626,0.039000,1535,0.780195,780
627,0.039000,42495,21.598945,21599
628,0.039000,41982,21.338202,21338
629,0.039000,23813,12.103440,12103
630,0.039000,23973,12.184763,12185
631,0.039000,65187,33.132614,33133
632,0.039000,65117,33.097035,33097
633,0.040000,64605,32.836800,32837
634,0.040000,3070,1.560390,1560
635,0.040000,19454,9.887890,9888
636,0.040000,18428,9.366404,9366
637,0.040000,47627,24.207388,24207
638,0.040000,47947,24.370034,24370
639,0.040000,64839,32.955736,32956
640,0.040000,64954,33.014187,33014
641,0.040000,63931,32.494226,32494
642,0.040000,6141,3.121288,3121
643,0.040000,38909,19.776288,19776
644,0.040000,36857,18.733317,18733
645,0.040000,29719,15.105284,15105
646,0.040000,30615,15.560694,15561
647,0.040000,64399,32.732097,32732
648,0.040000,64116,32.588256,32588
649,0.040000,62071,31.548844,31549
650,0.040000,12283,6.243084,6243
651,0.040000,12282,6.242575,6243
652,0.040000,8178,4.156634,4157
653,0.041000,59439,30.211076,30211
654,0.041000,60975,30.991779,30992
655,0.041000,63007,32.024585,32025
656,0.041000,62952,31.996630,31997
657,0.041000,9712,4.936321,4936
658,0.041000,58862,29.917804,29918
659,0.041000,24566,12.486167,12486
660,0.041000,24565,12.485659,12486
661,0.041000,16357,8.313777,8314
662,0.041000,53343,27.112661,27113
663,0.041000,56671,28.804184,28804
664,0.041000,60735,30.869794,30870
665,0.041000,60112,30.553142,30553
666,0.041000,51933,26.396000,26396
667,0.041000,49133,24.972843,24973
668,0.041000,49130,24.971318,24971
669,0.041000,32714,16.627553,16628
670,0.041000,41151,20.915830,20916
671,0.041000,47807,24.298876,24299
672,0.041000,55935,28.430097,28430
673,0.041000,54688,27.796284,27796
674,0.041000,38330,19.481999,19482
675,0.042000,32730,16.635686,16636
676,0.042000,32725,16.633144,16633
677,0.042000,65429,33.255615,33256
678,0.042000,16511,8.392050,8392
679,0.042000,29823,15.158144,15158
680,0.042000,46335,23.550703,23551
681,0.042000,43840,22.282568,22283
682,0.042000,11124,5.653998,5654
683,0.042000,65460,33.271371,33271
684,0.042000,65451,33.266797,33267
685,0.042000,65323,33.201738,33202
686,0.042000,33279,16.914726,16915
687,0.042000,59903,30.446914,30447
688,0.042000,26879,13.661796,13662
689,0.042000,22401,11.385762,11386
690,0.042000,22272,11.320195,11320
691,0.042000,22505,11.438622,11439
692,0.042000,65384,33.232743,33233
693,0.042000,65367,33.224102,33224
694,0.042000,65367,33.224102,33224
695,0.042000,767,0.389843,390
696,0.043000,54015,27.454218,27454
697,0.043000,53759,27.324101,27324
698,0.043000,44546,22.641407,22641
699,0.043000,44754,22.747127,22747
700,0.043000,65489,33.286111,33286
701,0.043000,65454,33.268322,33268
